#pixelIndex	x	y	bupId	age	sex	instigator
738	38	7	5433	21	1	2
739	39	7	4255	21	1	2
740	40	7	2891	21	1	2
741	41	7	242	21	1	2
742	42	7	3025	21	1	2
743	43	7	4024	21	1	2
744	44	7	4025	21	1	2
745	45	7	5553	22	1	1
746	46	7	11658	22	1	1
747	47	7	14089	22	1	1
748	48	7	1018	22	1	1
749	49	7	16722	22	1	1
750	50	7	1045	22	1	1
751	51	7	5350	22	1	1
752	52	7	5927	21	1	1
753	53	7	2296	21	1	1
754	54	7	3757	21	1	1
755	55	7	4172	21	1	1
756	56	7	6132	21	1	1
757	57	7	3605	21	1	1
758	58	7	17608	22	1	0
